Antarctic            [ænt'ɑ:ktik]                    a.南极的
Byzantine            [bi'zæntain]                    a.像迷宫似的；难变更的
abacus               ['æbәkәs]                       n.算盘
abandon              [ә'bændәn]                      v.n.放弃，放纵
abase                [ә'beis]                        v.贬抑，使卑下
abash                [ә'bæʃ]                         v.使害羞，使尴尬
abate                [ә'beit]                        v.减轻，降低
abattoir             ['æbәtwɑ:]                      n.屠宰场，角斗场
abbreviate           [ә'bri:vieit]                   v.缩短；缩写
abbreviation         [ә,bri:vi'eiʃәn]                n.缩短，缩写
abdicate             ['æbdikeit]                     v.退位，辞职，放弃
abdomen              ['æbdәmen]                      n.腹，下腹（胸部到腿部的部份）
abduct               [æb'dʌkt]                       v.绑架，拐走
aberrant             [æ'berәnt]                      adj.越轨的，异常的
aberration           [æbә'reiʃәn]                    n.离开正路，脱离常轨；变形
abet                 [ә'bet]                         v.教唆，鼓励，帮助
abeyance             [ә'beiәns]                      n.中止，暂搁
abhor                [әb'hɒ:]                        v.憎恨，嫌恶
abhorrent            [әb'hɒrәnt]                     adj.可恨的，可厌的
abide                [ә'baid]                        v.容忍，忍受
abject               ['æbdʒekt]                      adj.极可怜的，卑屈的
abjure               [әb'dʒuә]                       v.誓绝，弃绝
ablution             [ә'blu:ʃәn]                     n.（宗教的）净礼，沐浴
abnegate             ['æbnigeit]                     v.否认，放弃
abnegation           [,æbni'geiʃәn]                  n.克己，自制
abnormal             [æb'nɒ:mәl]                     adj.不正常的，变态的
abode                [ә'bәud]                        n.住处，住所
abolish              [ә'bɒliʃ]                       v.废止，废除(法律、制度、习俗等)
abolition            [,æbәu'liʃәn]                   n.废除，革除
abominable           [ә'bɒminәbl]                    adj.可厌的，天气极坏的
abominate            [ә'bɒmineit]                    v.痛恨，痛恶
aboriginal           [,æbә'ridʒәnәl]                 n.原始居民，土著
abortive             [ә'bɒ:tiv]                      adj.无结果的，失败的
abound               [ә'baund]                       v.充满，富于
aboveboard           [ә,bʌv'bɒ:d]                    a./adv.光明正大的(地)
abracadabra          [,æbrәkә'dæbrә]                 n.咒语，胡言乱语
abrade               [ә'breid]                       v.磨损，擦伤
abrasion             [ә'breiʒәn]                     n.表面磨损
abrasive             [ә'breisiv]                     a.磨损的；生硬粗暴的
abreast              [ә'brest]                       adv.并列，并排
abridge              [ә'bridʒ]                       v.删减，缩短
abridgment           [ә'bridʒmәnt]                   n.删节，节本
abrogate             ['æbrәgeit]                     v.废止，废除
abscission           [æb'siʒәn]                      n.[医]切除，截去；[植]脱离
abscond              [әb'skɒnd]                      vi.潜逃，逃亡
absenteeism          [ˌæbsənˈtiˌɪzəm]                n.旷课，旷工
absinth              ['æbsinθ]                       n.苦艾酒
absolute             ['æbsәlu:t]                     a.绝对的，完全的;
absolution           [æbsә'lu:ʃәn]                   n.赦免，免除
absolve              [әb'zɒlv]                       v.赦免，免除
absorb               [әb'sɒ:b]                       v.吸收；同化；吸引…的注意
abstain              [әb'stein]                      v.自动戒绝，抑制
abstemious           [æb'sti:mjәs]                   adj.有节制的，节俭的
abstention           [әb'stenʃәn]                    n.节制
abstentious          [æb'stenʃəs]                    a.有节制的
abstract             ['æbstrækt]                     n.摘要；a.抽象的
abstracted           [æb'stræktid]                   adj.心不在焉的
abstruse             [æb'stru:s]                     adj.难懂的，深奥的
absurd               [әb'sә:d]                       adj.荒谬的，可笑的
absurdity            [әb'sә:diti]                    n.荒谬
abundance            [ә'bʌndәns]                     n.充裕，多量
abundant             [ә'bʌndәnt]                     a.丰富的，盛产的
abuse                [ә'bju:s,ә'bju:z]               v.n.辱骂，滥用
abusive              [ә'bju:siv]                     a.漫骂的；毁谤的；虐待的
abut                 [ә'bʌt]                         v.接界，毗连
abysmal              [ә'bizmәl]                      adj.极深的，糟透的
abyss                [ә'bis]                         n.深渊，深坑
academic             [,ækә'demik]                    a.学院的，学术的；理论的
academician          [ә,kædә'miʃәn]                  n.院士；学会会员
accede               [æk'si:d]                       v.应允，同意
accelerate           [әk'selәreit]                   v.加速，催促
accentuate           [æk'sentjueit]                  v.着重，强调
access               ['ækses]                        n.通路，途径
accessible           [әk'sesәbl]                     adj.易达到的，易受影响的
accessory            [әk'sesәri]                     a.附属的，次要的
accidental           [,æksi'dentl]                   adj.意外的，偶然的
acclaim              [ә'kleim]                       v.欢呼，称赞
acclamation          [,æklә'meiʃәn]                  n.欢呼
acclimate            [ә'klaimit]                     v.使服水土;
acclivity            [ә'kliviti]                     n.向上的陡坡
accolade             [,ækәu'leid]                    n.推崇备至，赞扬
accommodate          [ә'kɒmәdeit]                    v.与…一致；提供食宿
accommodating        [ә'kɒmәdeitiŋ]                  adj.乐于助人的
accompany            [ә'kʌmpәni]                     v.伴随，陪伴
accomplice           [ә'kʌmplis]                     n.同谋者，帮凶
accomplish           [ә'kʌmpliʃ]                     v.完成，做成功
accomplished         [ә'kʌmpliʃt]                    a.完成了的；有技巧的，有造诣的
accord               [ә'kɒ:d]                        v.同意，给予
accordion            [ә'kɒ:djәn]                     n.手风琴
accost               [ә'kɒst]                        v.搭话
accountability       [ә,kauntә'biliti]               n.负有责任
accoutrements        [ә'ku:tәmәnts]                  n.（军服，武器之外的）装备，配备
